aerialWonPerGame,ap,assistTotal,goal,manOfTheMatch,minsPlayed,passSuccess,player_name,player_url,team_url,rank,rating,redCard,rgn,shotsPerGame,yellowCard,age,pos_AM(LR),pos_AM(L),pos_M(LR),pos_Midfielder,pos_D(CL),pos_AM(CR),pos_M(R),pos_FW,pos_Forward,pos_D(CR),pos_Goalkeeper,pos_AM(CLR),pos_Defender,pos_M(L),pos_M(C),pos_M(CLR),pos_M(CR),pos_D(L),pos_D(LR),pos_GK,pos_AM(C),pos_D(C),pos_AM(R),pos_DMC,pos_D(R),pos_AM(CL),pos_D(CLR),pos_M(CL),team
1.9,17,3.0,1.0,1.0,1526.0,87.2,Casemiro,https://www.whoscored.com/Players/88526,https://www.whoscored.com/Teams/52,19,7.3,0.0,br,0.9,7.0,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Real Madrid
1.7,34,4.0,0.0,1.0,2906.0,89.8,Sergio Busquets,https://www.whoscored.com/Players/44721,https://www.whoscored.com/Teams/65,20,7.28,0.0,es,0.2,6.0,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Barcelona
1.3,23,5.0,2.0,0.0,2044.0,86.0,Danilo,https://www.whoscored.com/Players/88300,https://www.whoscored.com/Teams/52,21,7.27,0.0,br,0.8,6.0,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Real Madrid
1.8,32,1.0,1.0,2.0,2847.0,81.0,Asier Illarramendi,https://www.whoscored.com/Players/87094,https://www.whoscored.com/Teams/68,22,7.27,0.0,es,0.7,15.0,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Real Sociedad
2.7,21,1.0,1.0,0.0,1887.0,87.6,Pepe,https://www.whoscored.com/Players/10105,https://www.whoscored.com/Teams/52,23,7.27,0.0,pt,0.6,5.0,33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Real Madrid
3.7,27,6.0,7.0,2.0,2375.0,63.7,Raúl García,https://www.whoscored.com/Players/11386,https://www.whoscored.com/Teams/53,24,7.25,0.0,es,2.6,10.0,30,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Athletic Club
2.8,26,0.0,2.0,2.0,2313.0,81.7,Diego Reyes,https://www.whoscored.com/Players/86235,https://www.whoscored.com/Teams/68,25,7.24,1.0,mx,0.4,3.0,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,Real Sociedad
0.4,25,2.0,1.0,1.0,2248.0,88.3,Andrés Iniesta,https://www.whoscored.com/Players/9486,https://www.whoscored.com/Teams/65,26,7.24,0.0,es,0.8,2.0,32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Barcelona
2.9,25,0.0,0.0,3.0,2271.0,84.3,Grzegorz Krychowiak,https://www.whoscored.com/Players/67424,https://www.whoscored.com/Teams/67,27,7.23,0.0,pl,0.8,6.0,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Sevilla
1.0,19,4.0,0.0,0.0,1638.0,88.0,Daniel Carvajal,https://www.whoscored.com/Players/106883,https://www.whoscored.com/Teams/52,28,7.22,0.0,es,0.4,6.0,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Real Madrid
2.7,21,4.0,0.0,2.0,1849.0,76.5,Yuri,https://www.whoscored.com/Players/56057,https://www.whoscored.com/Teams/68,29,7.22,0.0,es,0.7,10.0,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Real Sociedad
